Date,Action,Code
16-Mar-20,Addition,UMG
13-Dec-19,Addition,APE
13-Dec-19,Addition,INA
13-Dec-19,Removal,GXY
13-Dec-19,Removal,SDA
5-Dec-19,Addition,EML
5-Dec-19,Removal,BAL
7-Nov-19,Addition,AVH
7-Nov-19,Removal,AOG
23-Sep-19,Addition,SLR
23-Sep-19,Addition,PNV
23-Sep-19,Addition,NWL
23-Sep-19,Addition,JIN
23-Sep-19,Addition,GOR
23-Sep-19,Addition,CKF
23-Sep-19,Removal,ALG
23-Sep-19,Removal,API
23-Sep-19,Removal,ECX
23-Sep-19,Removal,EHL
23-Sep-19,Removal,PGH
23-Sep-19,Removal,SIG
31-Jul-19,Addition,PME
31-Jul-19,Removal,DLX
24-Jun-19,Addition,CUV
24-Jun-19,Addition,SSM
24-Jun-19,Addition,ASB
24-Jun-19,Removal,SWM
24-Jun-19,Removal,SYR
24-Jun-19,Removal,NVT
15-Apr-19,Addition,NEA
15-Apr-19,Removal,MYO
8-Mar-19,Addition,PNI
8-Mar-19,Addition,HUB
8-Mar-19,Removal,IFN
8-Mar-19,Removal,AHG
29-Nov-18,Addition,NHC
29-Nov-18,Removal,IOF
21-Nov-18,Removal,FXJ
14-Nov-18,Addition,COL
11-Oct-18,Addition,BVS
11-Oct-18,Removal,APO
4-Oct-18,Addition,EHL
4-Oct-18,Removal,GTY
10-Sep-18,Addition,VEA
10-Sep-18,Removal,SRX
7-Sep-18,Addition,BIN
7-Sep-18,Addition,ELD
7-Sep-18,Removal,GMA
7-Sep-18,Removal,GXL
31-Aug-18,Addition,ELD
31-Aug-18,Removal,IOF
8-Jun-18,Addition,APT
8-Jun-18,Addition,APX
8-Jun-18,Addition,ING
8-Jun-18,Removal,AHY
8-Jun-18,Removal,INM
8-Jun-18,Removal,RFG
24-May-18,Addition,URW
24-May-18,Addition,OMN
24-May-18,Removal,WFD
18-May-18,Addition,IEL
18-May-18,Removal,MTR
3-May-18,Addition,IEL
3-May-18,Removal,SRX
19-Mar-18,Addition,ASL
19-Mar-18,Addition,BAL
19-Mar-18,Addition,SIQ
19-Mar-18,Addition,XRO
19-Mar-18,Removal,AAC
19-Mar-18,Removal,HT1
19-Mar-18,Removal,MYR
8-Dec-17,Addition,LYC
8-Dec-17,Addition,PLS
8-Dec-17,Addition,WTC
8-Dec-17,Removal,FXL
8-Dec-17,Removal,JHC
8-Dec-17,Removal,REG
6-Dec-17,Removal,TTS
7-Nov-17,Addition,DHA
1-Sep-17,Addition,CLW
1-Sep-17,Addition,NHF
1-Sep-17,Addition,SOL
1-Sep-17,Removal,ISD
1-Sep-17,Removal,SKT
1-Sep-17,Removal,VRT
28-Jul-17,Addition,OML
28-Jul-17,Removal,SPO
9-Jun-17,Addition,SDA
9-Jun-17,Removal,BAL
21-Apr-17,Addition,CNU
21-Apr-17,Removal,DUE
9-Dec-16,Addition,NAN
9-Dec-16,Removal,OFX
5-Dec-16,Addition,VVR
5-Dec-16,Removal,SAI
2-Sep-16,Addition,GXY
2-Sep-16,Addition,IFN
2-Sep-16,Addition,NXT
2-Sep-16,Addition,ORE
2-Sep-16,Addition,RSG
2-Sep-16,Addition,WEB
2-Sep-16,Removal,ASB
2-Sep-16,Removal,CVO
2-Sep-16,Removal,MSB
2-Sep-16,Removal,PRG
2-Sep-16,Removal,SHV
2-Sep-16,Removal,VRL
22-Jul-16,Addition,AIO
22-Jul-16,Removal,RWC
21-Jun-16,Addition,ECX
21-Jun-16,Removal,PBG
17-Jun-16,Addition,NZM
10-Jun-16,Addition,A2M
10-Jun-16,Removal,LNG
3-May-16,Addition,SAR
3-May-16,Removal,BRS
14-Apr-16,Addition,INM
14-Apr-16,Removal,REC
11-Mar-16,Addition,ACX
11-Mar-16,Addition,BAL
11-Mar-16,Addition,BKW
11-Mar-16,Addition,IPH
11-Mar-16,Addition,SBM
11-Mar-16,Removal,AWE
11-Mar-16,Removal,CAB
11-Mar-16,Removal,KAR
11-Mar-16,Removal,SGH
11-Mar-16,Removal,TEN
4-Feb-16,Addition,LNK
4-Feb-16,Removal,VED
1-Feb-16,Removal,MTU
25-Jan-16,Addition,CYB
4-Dec-15,Addition,API
4-Dec-15,Addition,APO
4-Dec-15,Addition,CGC
4-Dec-15,Addition,ISD
4-Dec-15,Addition,PRG
4-Dec-15,Removal,ARI
4-Dec-15,Removal,CDD
4-Dec-15,Removal,DLS
4-Dec-15,Removal,DSH
4-Dec-15,Removal,PDN
4-Sep-15,Addition,ALU
4-Sep-15,Addition,ASB
4-Sep-15,Addition,BAP
4-Sep-15,Addition,GTY
4-Sep-15,Addition,MTR
4-Sep-15,Addition,MYO
4-Sep-15,Removal,AGI
4-Sep-15,Removal,BKN
4-Sep-15,Removal,KMD
4-Sep-15,Removal,MRM
4-Sep-15,Removal,SXY
4-Sep-15,Removal,UGL
3-Sep-15,Addition,BKL
3-Sep-15,Removal,SIR
20-Aug-15,Addition,BTT
20-Aug-15,Removal,IIN
5-Jun-15,Addition,CCP
5-Jun-15,Addition,GOZ
5-Jun-15,Addition,NSR
5-Jun-15,Removal,SEA
5-Jun-15,Removal,SGN
5-Jun-15,Removal,SKE
22-May-15,Addition,FPH
22-May-15,Addition,SHV
22-May-15,Removal,NVN
22-May-15,Removal,SGT
15-May-15,Removal,PNA
7-May-15,Addition,S32
7-May-15,Addition,MYX
7-May-15,Removal,TOL
6-Mar-15,Addition,AAC
6-Mar-15,Addition,CTD
6-Mar-15,Addition,DSH
6-Mar-15,Addition,EHE
6-Mar-15,Addition,REG
6-Mar-15,Addition,SYR
6-Mar-15,Removal,AGO
6-Mar-15,Removal,BCI
6-Mar-15,Removal,BDR
6-Mar-15,Removal,HZN
6-Mar-15,Removal,LYC
6-Mar-15,Removal,MGX
24-Feb-15,Addition,MPL
24-Feb-15,Removal,GFF
5-Dec-14,Addition,APN
5-Dec-14,Addition,VOC
5-Dec-14,Removal,MML
5-Dec-14,Removal,RSG
8-Oct-14,Addition,HSO
8-Oct-14,Removal,WTF
5-Sep-14,Addition,AHY
5-Sep-14,Addition,LNG
5-Sep-14,Addition,TNE
5-Sep-14,Removal,BRU
5-Sep-14,Removal,NWH
5-Sep-14,Removal,TRS
15-Aug-14,Addition,GMA
15-Aug-14,Removal,ALZ
8-Aug-14,Addition,SPO
8-Aug-14,Removal,ENV
14-Jul-14,Addition,GXL
14-Jul-14,Removal,DJS
7-Jul-14,Addition,JHC
7-Jul-14,Removal,AQA
6-Jun-14,Addition,TGR
6-Jun-14,Removal,ACR
20-May-14,Addition,SDF
20-May-14,Removal,AUT
23-Apr-14,Addition,SEA
23-Apr-14,Removal,FOX
7-Mar-14,Addition,AGI
7-Mar-14,Addition,ARP
7-Mar-14,Addition,BGA
7-Mar-14,Addition,CVO
7-Mar-14,Addition,OFX
7-Mar-14,Addition,PGH
7-Mar-14,Addition,VED
7-Mar-14,Removal,AQG
7-Mar-14,Removal,ASL
7-Mar-14,Removal,DCG
7-Mar-14,Removal,EWC
7-Mar-14,Removal,SLR
7-Mar-14,Removal,SMX
7-Mar-14,Removal,VAH
12-Feb-14,Addition,NEC
12-Feb-14,Removal,FGE
10-Dec-13,Addition,ORA
10-Dec-13,Removal,PRU
6-Dec-13,Addition,BCI
6-Dec-13,Addition,RFG
6-Dec-13,Addition,SGH
6-Dec-13,Addition,SKC
6-Dec-13,Addition,VRL
6-Dec-13,Addition,VRT
6-Dec-13,Removal,BLY
6-Dec-13,Removal,CDU
6-Dec-13,Removal,FWD
6-Dec-13,Removal,KCN
6-Dec-13,Removal,OGC
6-Dec-13,Removal,SBM
6-Dec-13,Removal,SDL
8-Nov-13,Addition,KMD
8-Nov-13,Removal,LNC
6-Sep-13,Addition,CMW
6-Sep-13,Addition,FGE
6-Sep-13,Addition,SGN
6-Sep-13,Addition,SKT
6-Sep-13,Removal,BBG
6-Sep-13,Removal,DML
6-Sep-13,Removal,EHL
6-Sep-13,Removal,FKP
6-Sep-13,Removal,MDL
7-Jun-13,Addition,AHE
7-Jun-13,Addition,DMP
7-Jun-13,Addition,GEM
7-Jun-13,Addition,LNC
7-Jun-13,Addition,REA
7-Jun-13,Addition,SIR
7-Jun-13,Removal,AIX
7-Jun-13,Removal,CPL
7-Jun-13,Removal,IMD
7-Jun-13,Removal,MAD
7-Jun-13,Removal,MBN
7-Jun-13,Removal,TRY
1-Mar-13,Addition,HZN
1-Mar-13,Addition,MFG
1-Mar-13,Addition,PMV
1-Mar-13,Addition,TME
1-Mar-13,Removal,BTU
1-Mar-13,Removal,GBG
1-Mar-13,Removal,GRY
1-Mar-13,Removal,SAR
7-Dec-12,Addition,IIN
7-Dec-12,Addition,MAD
7-Dec-12,Addition,MMS
7-Dec-12,Removal,APN
7-Dec-12,Removal,IAU
7-Dec-12,Removal,LNC
7-Dec-12,Removal,MAH
7-Sep-12,Addition,DLS
7-Sep-12,Addition,SAI
7-Sep-12,Addition,SKE
7-Sep-12,Removal,AQP
7-Sep-12,Removal,PAN
7-Sep-12,Removal,RMS
20-Jul-12,Addition,FXL
20-Jul-12,Removal,SPT
20-Jun-12,Addition,BRU
20-Jun-12,Removal,GCL
1-Jun-12,Addition,CDD
1-Jun-12,Addition,MTU
1-Jun-12,Removal,DTE
1-Jun-12,Removal,ERA
12-Apr-12,Addition,DCG
12-Apr-12,Addition,TRY
12-Apr-12,Removal,CQO
12-Apr-12,Removal,AZT
5-Apr-12,Addition,SXY
5-Apr-12,Removal,AUN
21-Mar-12,Addition,SUL
21-Mar-12,Removal,EXT
2-Mar-12,Addition,CRF
2-Mar-12,Addition,EVN
2-Mar-12,Addition,SUL
2-Mar-12,Removal,KZL
2-Mar-12,Removal,WEC
2-Dec-11,Addition,IGR
2-Dec-11,Addition,IMD
2-Dec-11,Addition,RMS
2-Dec-11,Addition,SLR
2-Dec-11,Removal,CNU
2-Dec-11,Removal,GNS
2-Dec-11,Removal,MMX
2-Dec-11,Removal,OMH
25-Nov-11,Removal,FGL
11-Nov-11,Addition,CNU
26-Oct-11,Addition,IDL
26-Oct-11,Addition,MDL
26-Oct-11,Removal,MCC
26-Oct-11,Removal,ESG
2-Sep-11,Addition,QUB
2-Sep-11,Addition,ACR
2-Sep-11,Removal,IFN
2-Sep-11,Removal,HIL
3-Jun-11,Addition,AZT
3-Jun-11,Addition,BTU
3-Jun-11,Addition,CPB
3-Jun-11,Addition,NWH
3-Jun-11,Removal,CVN
3-Jun-11,Removal,EAU
3-Jun-11,Removal,MCR
3-Jun-11,Removal,ROC
2-Jun-11,Removal,EQN
27-May-11,Addition,EGP
2-May-11,Addition,TWE
2-May-11,Removal,HST
15-Apr-11,Removal,MSB
15-Apr-11,Removal,TAL